strategy,family,year,is_full_year,mean_return_pct,median_return_pct,tickers
donchian_breakout_100_50,rompimento,2017,False,2.5082,-5.7721,40
donchian_breakout_100_50,rompimento,2018,True,10.3104,9.4096,40
donchian_breakout_100_50,rompimento,2019,True,30.996,16.8117,40
donchian_breakout_100_50,rompimento,2020,True,0.8569,-2.2323,40
donchian_breakout_100_50,rompimento,2021,True,-7.9991,-9.9619,40
donchian_breakout_100_50,rompimento,2022,True,-10.5298,-9.7475,40
donchian_breakout_100_50,rompimento,2023,True,3.5586,-1.0061,40
donchian_breakout_100_50,rompimento,2024,True,-10.051,-10.4347,40
donchian_breakout_100_50,rompimento,2025,True,9.9334,7.5862,40
donchian_breakout_100_50,rompimento,2026,False,0.6154,-0.9838,40
donchian_breakout_100_50_trend200,rompimento,2017,False,2.5622,-4.7754,40
donchian_breakout_100_50_trend200,rompimento,2018,True,9.6629,8.708,40
donchian_breakout_100_50_trend200,rompimento,2019,True,30.9128,16.8117,40
donchian_breakout_100_50_trend200,rompimento,2020,True,0.8147,-2.2323,40
donchian_breakout_100_50_trend200,rompimento,2021,True,-8.0033,-9.9619,40
donchian_breakout_100_50_trend200,rompimento,2022,True,-10.5091,-9.7475,40
donchian_breakout_100_50_trend200,rompimento,2023,True,3.4874,-1.0061,40
donchian_breakout_100_50_trend200,rompimento,2024,True,-10.0403,-10.4347,40
donchian_breakout_100_50_trend200,rompimento,2025,True,9.9955,7.5862,40
donchian_breakout_100_50_trend200,rompimento,2026,False,0.3415,-1.9679,40
donchian_breakout_10_5,rompimento,2017,False,7.8594,1.8193,40
donchian_breakout_10_5,rompimento,2018,True,16.5204,15.5255,40
donchian_breakout_10_5,rompimento,2019,True,20.3877,15.3198,40
donchian_breakout_10_5,rompimento,2020,True,13.5018,10.3709,40
donchian_breakout_10_5,rompimento,2021,True,-4.5488,-4.6725,40
donchian_breakout_10_5,rompimento,2022,True,-3.3252,-2.4383,40
donchian_breakout_10_5,rompimento,2023,True,6.1795,3.2143,40
donchian_breakout_10_5,rompimento,2024,True,-9.6305,-9.3384,40
donchian_breakout_10_5,rompimento,2025,True,11.5627,11.5682,40
donchian_breakout_10_5,rompimento,2026,False,12.2235,10.4767,40
donchian_breakout_20_10,rompimento,2017,False,9.2856,5.8463,40
donchian_breakout_20_10,rompimento,2018,True,19.1556,17.228,40
donchian_breakout_20_10,rompimento,2019,True,23.4376,10.1997,40
donchian_breakout_20_10,rompimento,2020,True,25.99,9.2754,40
donchian_breakout_20_10,rompimento,2021,True,-3.4656,-5.7706,40
donchian_breakout_20_10,rompimento,2022,True,-5.7096,-5.7555,40
donchian_breakout_20_10,rompimento,2023,True,12.0221,8.0627,40
donchian_breakout_20_10,rompimento,2024,True,-11.7671,-12.9439,40
donchian_breakout_20_10,rompimento,2025,True,6.3544,7.2229,40
donchian_breakout_20_10,rompimento,2026,False,3.2688,0.1779,40
donchian_breakout_20_10_trend100,rompimento,2017,False,9.3014,2.7771,40
donchian_breakout_20_10_trend100,rompimento,2018,True,17.6383,15.7476,40
donchian_breakout_20_10_trend100,rompimento,2019,True,22.4303,9.6243,40
donchian_breakout_20_10_trend100,rompimento,2020,True,18.3174,7.2402,40
donchian_breakout_20_10_trend100,rompimento,2021,True,-3.2937,-6.9415,40
donchian_breakout_20_10_trend100,rompimento,2022,True,-6.9457,-6.6968,40
donchian_breakout_20_10_trend100,rompimento,2023,True,8.7447,7.2643,40
donchian_breakout_20_10_trend100,rompimento,2024,True,-8.3654,-10.1671,40
donchian_breakout_20_10_trend100,rompimento,2025,True,5.6044,5.4042,40
donchian_breakout_20_10_trend100,rompimento,2026,False,3.8669,-1.0135,40
donchian_breakout_20_10_trend50,rompimento,2017,False,9.9755,5.8463,40
donchian_breakout_20_10_trend50,rompimento,2018,True,19.1685,16.4155,40
donchian_breakout_20_10_trend50,rompimento,2019,True,23.4184,10.2577,40
donchian_breakout_20_10_trend50,rompimento,2020,True,27.8118,11.9791,40
donchian_breakout_20_10_trend50,rompimento,2021,True,-3.4865,-5.7703,40
donchian_breakout_20_10_trend50,rompimento,2022,True,-6.1568,-5.78,40
donchian_breakout_20_10_trend50,rompimento,2023,True,11.6335,8.038,40
donchian_breakout_20_10_trend50,rompimento,2024,True,-10.5294,-11.7635,40
donchian_breakout_20_10_trend50,rompimento,2025,True,5.6913,5.9647,40
donchian_breakout_20_10_trend50,rompimento,2026,False,3.1105,0.1847,40
donchian_breakout_40_20,rompimento,2017,False,7.3135,1.2754,40
donchian_breakout_40_20,rompimento,2018,True,11.9349,10.0759,40
donchian_breakout_40_20,rompimento,2019,True,22.7619,14.0618,40
donchian_breakout_40_20,rompimento,2020,True,26.574,11.9622,40
