signal_strategy,decision_date,execution_date,uptrend_count,uptrend_tickers,management_eligible_count,management_eligible_tickers,selected_ticker,selected_score
sma_cross_5_20,2017-02-24,2017-03-01,32,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;UGPA3;VALE3;WEGE3,24,B3SA3;BBAS3;BBDC4;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SANB11;SBSP3;WEGE3,MGLU3,0.9538980649878059
sma_cross_5_20,2017-03-31,2017-04-03,19,ABEV3;B3SA3;BBAS3;BBDC4;BPAC11;CPFE3;ENEV3;EQTL3;HYPE3;LREN3;MULT3;PETR4;RADL3;RAIL3;RENT3;SBSP3;SUZB3;UGPA3;WEGE3,11,ABEV3;B3SA3;BBAS3;CPFE3;ENEV3;HYPE3;LREN3;MULT3;RAIL3;RENT3;UGPA3,UGPA3,0.6228271803010991
sma_cross_5_20,2017-04-28,2017-05-02,18,ABEV3;BBDC4;BBSE3;CPFE3;ENEV3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;RADL3;RENT3;SANB11;SUZB3;USIM5;WEGE3,11,BBDC4;CPFE3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RADL3;RENT3;WEGE3,RADL3,0.901621247861337
sma_cross_5_20,2017-05-31,2017-06-01,13,BRAP4;CPFE3;CPLE3;EQTL3;KLBN11;PSSA3;RADL3;SMTO3;SUZB3;TOTS3;UGPA3;VALE3;WEGE3,7,CPFE3;KLBN11;PSSA3;RADL3;TOTS3;UGPA3;WEGE3,PSSA3,0.32927819929402125
sma_cross_5_20,2017-06-30,2017-07-03,23,B3SA3;BBDC4;BPAC11;BRAP4;CMIG4;CPFE3;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;RAIL3;RENT3;SBSP3;SUZB3;TOTS3;USIM5;VALE3,12,B3SA3;BBDC4;BRAP4;CPFE3;CSMG3;ENGI11;ITUB4;RAIL3;RENT3;SBSP3;USIM5;VALE3,CPFE3,0.6265102058738158
sma_cross_5_20,2017-07-31,2017-08-01,29,ABEV3;B3SA3;BBAS3;BBDC4;BRAP4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,21,ABEV3;B3SA3;BBDC4;BRAP4;CPFE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SBSP3;TOTS3;USIM5;VALE3;WEGE3,RAIL3,0.8965367159359933
sma_cross_5_20,2017-08-31,2017-09-01,35,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RENT3;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,22,ABEV3;B3SA3;BBAS3;BBDC4;BRAP4;CPFE3;CYRE3;ENEV3;EQTL3;GGBR4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RENT3;USIM5;VALE3;WEGE3,USIM5,0.8561637796746617
sma_cross_5_20,2017-09-29,2017-10-02,14,ABEV3;B3SA3;BBAS3;CPFE3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;PETR4;PSSA3;RAIL3;SUZB3;UGPA3,13,ABEV3;B3SA3;BBAS3;CPFE3;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;PETR4;PSSA3;RAIL3;UGPA3,LREN3,0.6337068127097852
sma_cross_5_20,2017-10-31,2017-11-01,12,B3SA3;BPAC11;BRAP4;CPFE3;ENEV3;GGBR4;PETR4;RAIL3;SUZB3;TOTS3;UGPA3;VALE3,6,CPFE3;PETR4;RAIL3;TOTS3;UGPA3;VALE3,CPFE3,0.6409697720035005
sma_cross_5_20,2017-11-30,2017-12-01,23,ABEV3;B3SA3;BRAP4;CMIG4;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;MGLU3;RADL3;RAIL3;RENT3;SANB11;SBSP3;USIM5;VALE3;WEGE3,10,BRAP4;ENGI11;EQTL3;RADL3;RAIL3;RENT3;SANB11;SBSP3;VALE3;WEGE3,RADL3,0.5196798403591382
