date,side,ticker,shares,price,gross_brl,commission_brl,cash_after_brl,reason
2017-03-01,BUY,MGLU3,135,7.38863611,997.46587485,0.0,2.5341251500000226,monthly_rebalance
2017-03-22,SELL,MGLU3,135,6.41677713,866.26491255,0.0,868.7990377,indicator_exit
2017-04-03,BUY,ENEV3,236,3.67499995,867.2999882,0.0,1.4990494999999555,monthly_rebalance
2017-05-02,SELL,ENEV3,236,3.64750004,860.81000944,0.0,862.30905894,monthly_rebalance
2017-05-02,BUY,MGLU3,108,7.93319798,856.78538184,0.0,5.523677099999986,monthly_rebalance
2017-05-26,SELL,MGLU3,108,8.79892921,950.2843546800001,0.0,955.8080317800001,indicator_exit
2017-06-01,BUY,TOTS3,94,10.06609535,946.2129629,0.0,9.595068880000099,monthly_rebalance
2017-06-05,SELL,TOTS3,94,9.82381821,923.4389117400001,0.0,933.0339806200002,indicator_exit
2017-06-20,BUY,TOTS3,88,10.57719898,930.79351024,0.0,2.240470380000147,indicator_reentry
2017-06-30,SELL,TOTS3,88,9.79062939,861.57538632,0.0,863.8158567000002,indicator_exit
2017-07-03,BUY,BRAP4,90,9.52863884,857.5774955999999,0.0,6.2383611000002475,monthly_rebalance
2017-08-01,SELL,BRAP4,90,10.60274315,954.2468835,0.0,960.4852446000002,monthly_rebalance
2017-08-01,BUY,MGLU3,71,13.39620972,951.13089012,0.0,9.354354480000211,monthly_rebalance
2017-09-27,SELL,MGLU3,71,20.55762672,1459.59149712,0.0,1468.9458516000002,indicator_exit
2017-10-02,BUY,LREN3,54,26.89299393,1452.22167222,0.0,16.724179380000123,monthly_rebalance
2017-10-23,SELL,LREN3,54,27.53401184,1486.8366393600002,0.0,1503.5608187400003,indicator_exit
2017-11-01,BUY,RAIL3,117,12.77999973,1495.25996841,0.0,8.30085033000023,monthly_rebalance
2017-11-02,SELL,RAIL3,117,12.25,1433.25,0.0,1441.5508503300002,indicator_exit
2017-12-01,BUY,BRAP4,123,11.65840721,1433.98408683,0.0,7.5667635000002065,monthly_rebalance
2018-01-02,SELL,BRAP4,123,13.29491806,1635.27492138,0.0,1642.8416848800002,monthly_rebalance
2018-01-02,BUY,MGLU3,72,22.52013588,1621.44978336,0.0,21.391901520000147,monthly_rebalance
2018-02-01,SELL,MGLU3,72,23.4665947,1689.5948184000001,0.0,1710.9867199200003,monthly_rebalance
2018-02-01,BUY,USIM5,143,11.94999981,1708.8499728299998,0.0,2.1367470900004264,monthly_rebalance
2018-03-05,SELL,USIM5,143,11.14999962,1594.44994566,0.0,1596.5866927500003,indicator_exit
2018-04-02,BUY,SUZB3,47,33.40000153,1569.8000719099998,0.0,26.786620840000523,monthly_rebalance
2018-05-28,SELL,SUZB3,47,45.11999893,2120.63994971,0.0,2147.4265705500006,indicator_exit
2018-06-01,BUY,SMTO3,122,17.59000015,2145.9800183,0.0,1.4465522500004226,monthly_rebalance
2018-07-02,SELL,SMTO3,122,17.95999908,2191.11988776,0.0,2192.5664400100004,monthly_rebalance
2018-07-02,BUY,MGLU3,61,35.40866852,2159.92877972,0.0,32.63766029000044,monthly_rebalance
2018-07-11,SELL,MGLU3,61,32.5720787,1986.8968006999999,0.0,2019.5344609900003,indicator_exit
2018-07-18,BUY,MGLU3,54,36.95919037,1995.79627998,0.0,23.73818101000029,indicator_reentry
2018-08-21,SELL,MGLU3,54,38.41506577,2074.41355158,0.0,2098.1517325900004,indicator_exit
2018-09-03,BUY,SUZB3,43,48.20999908,2073.02996044,0.0,25.121772150000197,monthly_rebalance
2018-09-24,SELL,SUZB3,43,47.40000153,2038.2000657899998,0.0,2063.32183794,indicator_exit
2018-10-01,BUY,VALE3,34,59.68000031,2029.1200105399998,0.0,34.201827400000184,monthly_rebalance
2018-10-15,SELL,VALE3,34,56.95000076,1936.30002584,0.0,1970.5018532400002,indicator_exit
2018-11-01,BUY,MGLU3,41,47.32290649,1940.23916609,0.0,30.262687150000147,monthly_rebalance
2018-11-13,SELL,MGLU3,41,43.11951828,1767.90024948,0.0,1798.16293663,indicator_exit
2018-12-03,BUY,CPLE3,562,3.19799995,1797.2759718999998,0.0,0.8869647300002725,monthly_rebalance
2018-12-21,SELL,CPLE3,562,3.079,1730.3980000000001,0.0,1731.2849647300004,indicator_exit
2019-01-02,BUY,CMIG4,318,5.43064631,1726.94552658,0.0,4.339438150000433,monthly_rebalance
2019-01-30,SELL,CMIG4,318,5.55612014,1766.84620452,0.0,1771.1856426700003,indicator_exit
2019-02-01,BUY,CPLE3,534,3.31599998,1770.74398932,0.0,0.4416533500002515,monthly_rebalance
2019-02-06,SELL,CPLE3,534,3.27600002,1749.38401068,0.0,1749.8256640300003,indicator_exit
2019-03-01,BUY,BPAC11,204,8.56000042,1746.24008568,0.0,3.5855783500003326,monthly_rebalance
2019-03-11,SELL,BPAC11,204,8.19999981,1672.79996124,0.0,1676.3855395900002,indicator_exit
2019-03-20,BUY,BPAC11,184,9.07499981,1669.79996504,0.0,6.585574550000274,indicator_reentry
2019-03-25,SELL,BPAC11,184,8.99499989,1655.0799797600002,0.0,1661.6655543100005,indicator_exit
2019-04-01,BUY,CSNA3,98,16.89999962,1656.1999627599998,0.0,5.465591550000681,monthly_rebalance
2019-04-16,SELL,CSNA3,98,16.07999992,1575.8399921599998,0.0,1581.3055837100005,indicator_exit
2019-05-02,BUY,BPAC11,153,10.31999969,1578.9599525699998,0.0,2.3456311400007053,monthly_rebalance
2019-05-10,SELL,BPAC11,153,10.06000042,1539.1800642599999,0.0,1541.5256954000006,indicator_exit
2019-05-13,BUY,BPAC11,148,10.39999962,1539.1999437599998,0.0,2.325751640000817,indicator_reentry
2019-05-15,SELL,BPAC11,148,10.17249966,1505.5299496799998,0.0,1507.8557013200007,indicator_exit
2019-05-27,BUY,BPAC11,138,10.875,1500.75,0.0,7.105701320000662,indicator_reentry
2019-07-30,SELL,BPAC11,138,14.08250046,1943.38506348,0.0,1950.4907648000008,indicator_exit
2019-07-31,BUY,BPAC11,130,14.92249966,1939.9249558,0.0,10.565809000000854,indicator_reentry
2019-08-26,SELL,BPAC11,130,14.64999962,1904.4999506,0.0,1915.0657596000008,indicator_exit
2019-09-02,BUY,CPLE3,339,5.63399982,1909.92593898,0.0,5.139820620000819,monthly_rebalance
2019-09-17,SELL,CPLE3,339,5.34399986,1811.61595254,0.0,1816.755773160001,indicator_exit
2019-10-01,BUY,ENEV3,235,7.71500015,1813.02503525,0.0,3.7307379100009257,monthly_rebalance
2019-11-01,SELL,ENEV3,235,8.30249977,1951.08744595,0.0,1954.818183860001,monthly_rebalance
2019-11-01,BUY,MGLU3,19,100.10186768,1901.93548592,0.0,52.88269794000098,monthly_rebalance
2019-11-14,SELL,MGLU3,19,95.09120941,1806.73297879,0.0,1859.615676730001,indicator_exit
2019-12-02,BUY,ENEV3,194,9.55249977,1853.1849553800002,0.0,6.430721350000795,monthly_rebalance
2020-01-28,SELL,ENEV3,194,11.25,2182.5,0.0,2188.9307213500006,indicator_exit
2020-02-03,BUY,MGLU3,17,125.77871704,2138.2381896800002,0.0,50.692531670000335,monthly_rebalance
2020-02-11,SELL,MGLU3,17,118.47428894,2014.0629119799999,0.0,2064.7554436500004,indicator_exit
2020-03-02,BUY,WEGE3,94,21.95000076,2063.30007144,0.0,1.4553722100004052,monthly_rebalance
2020-03-10,SELL,WEGE3,94,21.0,1974.0,0.0,1975.4553722100004,indicator_exit
2020-05-04,BUY,WEGE3,101,19.48999977,1968.48997677,0.0,6.965395440000293,monthly_rebalance
2020-05-18,SELL,WEGE3,101,18.69499969,1888.19496869,0.0,1895.1603641300003,indicator_exit
2020-05-28,BUY,WEGE3,93,20.18499947,1877.20495071,0.0,17.95541342000024,indicator_reentry
2020-08-20,SELL,WEGE3,93,32.49499893,3022.03490049,0.0,3039.99031391,indicator_exit
2020-09-01,BUY,MGLU3,14,209.77966309,2936.9152832600003,0.0,103.07503064999992,monthly_rebalance
2020-09-08,SELL,MGLU3,14,193.85690308,2713.99664312,0.0,2817.07167377,indicator_exit
2020-10-01,BUY,RENT3,50,56.13563919,2806.7819595,0.0,10.289714269999877,monthly_rebalance
2020-11-03,SELL,RENT3,50,61.59990692,3079.995346,0.0,3090.28506027,monthly_rebalance
2020-11-03,BUY,CSNA3,147,21.01000023,3088.4700338099997,0.0,1.8150264600003538,monthly_rebalance
2020-11-12,SELL,CSNA3,147,19.95000076,2932.65011172,0.0,2934.4651381800004,indicator_exit
