date,cash,held_ticker,shares,invested_value,equity
2017-02-24,1000.0,,0,0.0,1000.0
2017-03-01,2.5341251500000226,MGLU3,135,1009.9611927000001,1012.4953178500001
2017-03-02,2.5341251500000226,MGLU3,135,930.10382595,932.6379511
2017-03-03,2.5341251500000226,MGLU3,135,916.05827745,918.5924026
2017-03-06,2.5341251500000226,MGLU3,135,916.10527095,918.6393961
2017-03-07,2.5341251500000226,MGLU3,135,869.5060938,872.04021895
2017-03-08,2.5341251500000226,MGLU3,135,826.7588716500001,829.2929968000001
2017-03-09,2.5341251500000226,MGLU3,135,871.33821525,873.8723404
2017-03-10,2.5341251500000226,MGLU3,135,803.2714744499999,805.8055995999999
2017-03-13,2.5341251500000226,MGLU3,135,798.8558715,801.3899966500001
2017-03-14,2.5341251500000226,MGLU3,135,812.66652405,815.2006492
2017-03-15,2.5341251500000226,MGLU3,135,825.3028183499999,827.8369435
2017-03-16,2.5341251500000226,MGLU3,135,920.47401,923.00813515
2017-03-17,2.5341251500000226,MGLU3,135,863.8692066,866.40333175
2017-03-20,2.5341251500000226,MGLU3,135,918.4070560499999,920.9411812
2017-03-21,2.5341251500000226,MGLU3,135,864.33887295,866.8729981
2017-03-22,868.7990377,,0,0.0,868.7990377
2017-03-23,868.7990377,,0,0.0,868.7990377
2017-03-24,868.7990377,,0,0.0,868.7990377
2017-03-27,868.7990377,,0,0.0,868.7990377
2017-03-28,868.7990377,,0,0.0,868.7990377
2017-03-29,868.7990377,,0,0.0,868.7990377
2017-03-30,868.7990377,,0,0.0,868.7990377
2017-03-31,868.7990377,,0,0.0,868.7990377
2017-04-03,1.4990494999999555,ENEV3,236,838.39000236,839.88905186
2017-04-04,1.4990494999999555,ENEV3,236,861.4000236,862.8990731
2017-04-05,1.4990494999999555,ENEV3,236,852.5499882,854.0490377
2017-04-06,1.4990494999999555,ENEV3,236,831.9000236,833.3990731
2017-04-07,1.4990494999999555,ENEV3,236,840.15998584,841.65903534
2017-04-10,1.4990494999999555,ENEV3,236,840.75,842.2490495
2017-04-11,1.4990494999999555,ENEV3,236,837.7999882,839.2990377
2017-04-12,1.4990494999999555,ENEV3,236,838.39000236,839.88905186
2017-04-13,1.4990494999999555,ENEV3,236,832.48997876,833.9890282599999
2017-04-17,1.4990494999999555,ENEV3,236,831.9000236,833.3990731
2017-04-18,1.4990494999999555,ENEV3,236,844.2900236,845.7890731
2017-04-19,1.4990494999999555,ENEV3,236,843.7000118,845.1990612999999
2017-04-20,1.4990494999999555,ENEV3,236,870.25,871.7490495
2017-04-24,1.4990494999999555,ENEV3,236,872.01998348,873.5190329799999
2017-04-25,1.4990494999999555,ENEV3,236,871.4300259600001,872.92907546
2017-04-26,1.4990494999999555,ENEV3,236,857.85999764,859.3590471399999
2017-04-27,1.4990494999999555,ENEV3,236,849.01002124,850.50907074
2017-04-28,1.4990494999999555,ENEV3,236,860.21999528,861.71904478
2017-05-02,5.523677099999986,MGLU3,108,860.50578096,866.02945806
2017-05-03,5.523677099999986,MGLU3,108,864.33885972,869.86253682
2017-05-04,5.523677099999986,MGLU3,108,853.06487796,858.58855506
2017-05-05,5.523677099999986,MGLU3,108,973.3208313599999,978.8445084599999
2017-05-08,5.523677099999986,MGLU3,108,988.35280596,993.8764830599999
2017-05-09,5.523677099999986,MGLU3,108,1019.24351136,1024.76718846
2017-05-10,5.523677099999986,MGLU3,108,1052.23875012,1057.76242722
2017-05-11,5.523677099999986,MGLU3,108,990.2317770000001,995.7554541000001
2017-05-12,5.523677099999986,MGLU3,108,995.8687938,1001.3924709
2017-05-15,5.523677099999986,MGLU3,108,1024.05377196,1029.57744906
2017-05-16,5.523677099999986,MGLU3,108,1059.75463536,1065.27831246
2017-05-17,5.523677099999986,MGLU3,108,1054.26799344,1059.79167054
2017-05-18,5.523677099999986,MGLU3,108,883.1288800799999,888.6525571799999
2017-05-19,5.523677099999986,MGLU3,108,933.8618206799999,939.3854977799999
2017-05-22,5.523677099999986,MGLU3,108,833.8240418400001,839.34771894
2017-05-23,5.523677099999986,MGLU3,108,909.0215604000001,914.5452375000001
2017-05-24,5.523677099999986,MGLU3,108,938.2962456,943.8199227
2017-05-25,5.523677099999986,MGLU3,108,934.72616952,940.24984662
2017-05-26,955.8080317800001,,0,0.0,955.8080317800001
2017-05-29,955.8080317800001,,0,0.0,955.8080317800001
2017-05-30,955.8080317800001,,0,0.0,955.8080317800001
2017-05-31,955.8080317800001,,0,0.0,955.8080317800001
2017-06-01,9.595068880000099,TOTS3,94,926.87053684,936.4656057200001
2017-06-02,9.595068880000099,TOTS3,94,921.8790813800001,931.4741502600002
2017-06-05,933.0339806200002,,0,0.0,933.0339806200002
2017-06-06,933.0339806200002,,0,0.0,933.0339806200002
2017-06-07,933.0339806200002,,0,0.0,933.0339806200002
2017-06-08,933.0339806200002,,0,0.0,933.0339806200002
2017-06-09,933.0339806200002,,0,0.0,933.0339806200002
2017-06-12,933.0339806200002,,0,0.0,933.0339806200002
2017-06-13,933.0339806200002,,0,0.0,933.0339806200002
2017-06-14,933.0339806200002,,0,0.0,933.0339806200002
2017-06-15,933.0339806200002,,0,0.0,933.0339806200002
2017-06-16,933.0339806200002,,0,0.0,933.0339806200002
2017-06-19,933.0339806200002,,0,0.0,933.0339806200002
2017-06-20,2.240470380000147,TOTS3,88,924.0761182399999,926.3165886200001
2017-06-21,2.240470380000147,TOTS3,88,911.22544128,913.4659116600002
2017-06-22,2.240470380000147,TOTS3,88,893.11780536,895.3582757400002
2017-06-23,2.240470380000147,TOTS3,88,891.9495921600001,894.1900625400002
2017-06-26,2.240470380000147,TOTS3,88,914.43819456,916.6786649400002
2017-06-27,2.240470380000147,TOTS3,88,894.8701247199999,897.1105951000001
2017-06-28,2.240470380000147,TOTS3,88,876.4704361600001,878.7109065400002
2017-06-29,2.240470380000147,TOTS3,88,864.49600248,866.7364728600002
2017-06-30,863.8158567000002,,0,0.0,863.8158567000002
2017-07-03,6.2383611000002475,BRAP4,90,875.0028420000001,881.2412031000003
2017-07-04,6.2383611000002475,BRAP4,90,878.736906,884.9752671000002
2017-07-05,6.2383611000002475,BRAP4,90,861.3115596,867.5499207000003
2017-07-06,6.2383611000002475,BRAP4,90,869.194422,875.4327831000003
2017-07-07,6.2383611000002475,BRAP4,90,864.6306327,870.8689938000002
2017-07-10,6.2383611000002475,BRAP4,90,884.9602314000001,891.1985925000004
2017-07-11,6.2383611000002475,BRAP4,90,892.4281884000001,898.6665495000003
2017-07-12,6.2383611000002475,BRAP4,90,897.4068831,903.6452442000002
2017-07-13,6.2383611000002475,BRAP4,90,879.1518114,885.3901725000003
2017-07-14,6.2383611000002475,BRAP4,90,887.8644846000001,894.1028457000003
2017-07-17,6.2383611000002475,BRAP4,90,892.013283,898.2516441000002
2017-07-18,6.2383611000002475,BRAP4,90,896.9919777,903.2303388000003
2017-07-19,6.2383611000002475,BRAP4,90,908.6089896,914.8473507000002
2017-07-20,6.2383611000002475,BRAP4,90,874.5879365999999,880.8262977000002
2017-07-21,6.2383611000002475,BRAP4,90,872.0986752,878.3370363000002
2017-07-24,6.2383611000002475,BRAP4,90,883.3006952999999,889.5390564000002
2017-07-25,6.2383611000002475,BRAP4,90,927.2789667000001,933.5173278000003
