decision_date,execution_date,ticker,indicator_uptrend,close,momentum_126_pct,volatility_63_pct,eligible_for_ranking,rank,selected,target_weight,reason
2017-02-24,2017-03-01,ABEV3,True,17.84000015,-8.886617860619461,22.250241492272288,False,,False,0.0,nonpositive_momentum
2017-02-24,2017-03-01,B3SA3,True,6.34000015,5.784215529120473,27.835074413555617,True,22,False,0.0,eligible
2017-02-24,2017-03-01,BBAS3,True,16.54999924,48.098424685574855,36.9098971246132,True,7,False,0.0,eligible
2017-02-24,2017-03-01,BBDC4,True,17.29265785,18.847792859899815,29.26862748066296,True,13,False,0.0,eligible
2017-02-24,2017-03-01,BBSE3,True,28.62000084,0.0699316773925096,31.332013156867518,True,25,False,0.0,eligible
2017-02-24,2017-03-01,BPAC11,False,4.55000019,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,BRAP4,True,10.81018829,121.22645540482537,65.81073895679305,True,2,False,0.0,eligible
2017-02-24,2017-03-01,CMIG4,True,5.28218412,21.201802987673602,47.46412898567053,True,12,False,0.0,eligible
2017-02-24,2017-03-01,CPFE3,False,25.54000092,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,CPLE3,True,2.56699991,14.088884888888886,28.493816407850503,True,17,False,0.0,eligible
2017-02-24,2017-03-01,CSMG3,True,17.19666672,63.259502133532685,29.657154216217446,True,4,False,0.0,eligible
2017-02-24,2017-03-01,CSNA3,True,11.97999954,37.227951560693896,46.273346105561195,True,9,False,0.0,eligible
2017-02-24,2017-03-01,CYRE3,False,12.98999977,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,EGIE3,True,21.13142776,-6.851390750451958,19.14071995764379,False,,False,0.0,nonpositive_momentum
2017-02-24,2017-03-01,ENEV3,True,3.38750005,-8.569497351028287,37.57158275879416,False,,False,0.0,nonpositive_momentum
2017-02-24,2017-03-01,ENGI11,True,20.48336983,7.1090072782861835,30.169106569061142,True,20,False,0.0,eligible
2017-02-24,2017-03-01,EQTL3,True,11.88993263,18.07181373562774,22.13528217549419,True,15,False,0.0,eligible
2017-02-24,2017-03-01,GGBR4,True,10.27777672,42.151484562677965,47.12178997646791,True,8,False,0.0,eligible
2017-02-24,2017-03-01,GOAU4,True,4.39510918,62.32688655406782,53.976428322179494,True,5,False,0.0,eligible
2017-02-24,2017-03-01,HYPE3,False,27.09000015,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,ITSA4,True,6.96692085,18.620132390255062,24.644451842079874,True,14,False,0.0,eligible
2017-02-24,2017-03-01,ITUB4,True,23.5539856,24.351881677468224,26.986474877384897,True,10,False,0.0,eligible
2017-02-24,2017-03-01,KLBN11,False,13.95139503,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,LREN3,True,17.3129406,2.8169011048226222,31.898522082053244,True,23,False,0.0,eligible
2017-02-24,2017-03-01,MGLU3,True,7.24144793,230.85854162071152,59.1665918613284,True,1,True,1.0,eligible
2017-02-24,2017-03-01,MULT3,True,21.43000031,7.025142807646323,27.428211982977587,True,21,False,0.0,eligible
2017-02-24,2017-03-01,PETR4,True,15.18000031,22.419361090270762,36.899343586803404,True,11,False,0.0,eligible
2017-02-24,2017-03-01,PSSA3,True,14.44999981,7.635006372390962,32.460075672276645,True,19,False,0.0,eligible
2017-02-24,2017-03-01,RADL3,False,11.19909477,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,RAIL3,True,8.57999992,17.534242420341627,39.22754685743539,True,16,False,0.0,eligible
2017-02-24,2017-03-01,RENT3,True,11.59467888,-4.675904860731683,43.038676671989606,False,,False,0.0,nonpositive_momentum
2017-02-24,2017-03-01,SANB11,True,32.98742676,53.05123503622233,38.81994202515436,True,6,False,0.0,eligible
2017-02-24,2017-03-01,SBSP3,True,6.37638998,13.457560589540174,30.041220738618986,True,18,False,0.0,eligible
2017-02-24,2017-03-01,SMTO3,False,19.0,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,SUZB3,False,20.01000023,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,TOTS3,False,8.40998459,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,UGPA3,True,30.13144494,-12.613577043154745,18.523916040557296,False,,False,0.0,nonpositive_momentum
2017-02-24,2017-03-01,USIM5,False,4.92999983,,,False,,False,0.0,indicator_not_uptrend
2017-02-24,2017-03-01,VALE3,True,32.72000122,80.27549258978995,55.584184366868314,True,3,False,0.0,eligible
2017-02-24,2017-03-01,WEGE3,True,6.53076887,2.2891580991726945,31.99083601571177,True,24,False,0.0,eligible
2017-03-31,2017-04-03,ABEV3,True,18.23999977,-7.411172252157828,20.03380502829457,False,,False,0.0,nonpositive_momentum
2017-03-31,2017-04-03,B3SA3,False,6.42999983,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,BBAS3,False,16.88500023,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,BBDC4,False,16.75452614,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,BBSE3,True,29.20000076,-5.5321873125146475,27.61005559819826,False,,False,0.0,nonpositive_momentum
2017-03-31,2017-04-03,BPAC11,False,4.75,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,BRAP4,False,10.09104538,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CMIG4,False,5.09935904,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CPFE3,False,25.77000046,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CPLE3,False,2.58800006,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CSMG3,False,14.73333263,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CSNA3,False,9.10999966,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,CYRE3,False,13.23999977,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,EGIE3,False,20.21142769,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,ENEV3,True,3.625,12.40310426056137,42.053012000357334,True,1,True,1.0,eligible
2017-03-31,2017-04-03,ENGI11,False,20.57400322,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,EQTL3,False,11.74410534,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,GGBR4,False,8.6428566,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,GOAU4,False,3.71259189,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,HYPE3,True,29.0,4.091885732374356,19.02886889945236,True,4,False,0.0,eligible
2017-03-31,2017-04-03,ITSA4,False,6.592206,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,ITUB4,False,22.30067635,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,KLBN11,False,13.63636303,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,LREN3,True,18.83756256,9.92487366067678,30.53950857730216,True,2,False,0.0,eligible
2017-03-31,2017-04-03,MGLU3,False,6.16241598,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,MULT3,False,22.10000038,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,PETR4,False,14.48999977,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,PSSA3,False,14.20499992,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,RADL3,False,11.06146336,,,False,,False,0.0,indicator_not_uptrend
2017-03-31,2017-04-03,RAIL3,False,8.55000019,,,False,,False,0.0,indicator_not_uptrend
