decision_date,execution_date,uptrend_tickers,eligible_tickers,selected_ticker,selected_momentum_126_pct
2018-10-31,2018-11-01,B3SA3;BBAS3;BBDC4;BBSE3;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5,B3SA3;BBAS3;BBDC4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SMTO3,MGLU3,64.68292460553033
2018-11-30,2018-12-03,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3;SBSP3;SUZB3;TOTS3;UGPA3,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3;SBSP3;TOTS3,CPLE3,58.13253672823835
2018-12-28,2019-01-02,BPAC11;CMIG4;CPFE3;CSMG3;CYRE3;ENEV3;MGLU3;RENT3;SBSP3;SUZB3;UGPA3,BPAC11;CMIG4;CPFE3;CSMG3;CYRE3;ENEV3;MGLU3;RENT3;SBSP3;UGPA3,CMIG4,55.41603280979874
2019-01-31,2019-02-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;WEGE3,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;TOTS3;UGPA3,CPLE3,68.32993924811579
2019-02-28,2019-03-01,B3SA3;BPAC11;BRAP4;CSNA3;GOAU4;PETR4;PSSA3;RADL3;RENT3;SUZB3;TOTS3;VALE3,B3SA3;BPAC11;CSNA3;PETR4;RENT3;TOTS3,BPAC11,67.74032677517813
2019-03-29,2019-04-01,BRAP4;CSNA3;PETR4;RADL3;TOTS3;VALE3,CSNA3;PETR4;TOTS3,CSNA3,81.7673463470118
2019-04-30,2019-05-02,ABEV3;B3SA3;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CYRE3;ENEV3;HYPE3;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;WEGE3,ABEV3;B3SA3;BBSE3;BPAC11;CMIG4;CPLE3;CSMG3;CYRE3;ENEV3;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SANB11;SBSP3;TOTS3,BPAC11,107.73092828220507
2019-05-31,2019-06-03,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RAIL3;RENT3;SANB11;SMTO3;WEGE3,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RAIL3;RENT3;SANB11;SMTO3;WEGE3,BPAC11,116.04253987405149
2019-06-28,2019-07-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;VALE3;WEGE3,BPAC11,116.97227902349967
2019-07-31,2019-08-01,ABEV3;B3SA3;BPAC11;CPFE3;CYRE3;EGIE3;ENGI11;HYPE3;MGLU3;RADL3;RAIL3;SBSP3;SUZB3;TOTS3;UGPA3;WEGE3,ABEV3;B3SA3;BPAC11;CPFE3;CYRE3;EGIE3;ENGI11;MGLU3;RADL3;RAIL3;SBSP3;TOTS3;WEGE3,BPAC11,103.95904392521756
2019-08-30,2019-09-02,CPLE3;HYPE3;PSSA3;RADL3,CPLE3;HYPE3;RADL3,CPLE3,74.69767425419145
2019-09-30,2019-10-01,ABEV3;BBAS3;BBDC4;BBSE3;BRAP4;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;MULT3;PETR4;PSSA3;RAIL3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,ABEV3;BBSE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;MULT3;PSSA3;RAIL3;SANB11;SMTO3;TOTS3;WEGE3,ENEV3,64.89247000231248
2019-10-31,2019-11-01,B3SA3;BBAS3;BBDC4;BPAC11;BRAP4;CSMG3;CYRE3;EGIE3;ENEV3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;MULT3;PETR4;RADL3;SANB11;SBSP3;TOTS3;UGPA3;VALE3;WEGE3,B3SA3;BBDC4;BPAC11;BRAP4;CSMG3;CYRE3;EGIE3;ENEV3;ITSA4;ITUB4;MGLU3;MULT3;PETR4;RADL3;SANB11;SBSP3;TOTS3;WEGE3,MGLU3,78.37271098474372
2019-11-29,2019-12-02,ABEV3;BBAS3;BPAC11;BRAP4;CPLE3;CSMG3;CSNA3;EGIE3;ENEV3;GGBR4;GOAU4;KLBN11;LREN3;PSSA3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,ABEV3;BPAC11;BRAP4;CPLE3;CSMG3;EGIE3;ENEV3;GGBR4;GOAU4;KLBN11;LREN3;PSSA3;RAIL3;RENT3;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,ENEV3,67.47252079120878
2019-12-30,2020-01-02,ABEV3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,ABEV3;BBSE3;BPAC11;BRAP4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3;WEGE3,ENEV3,81.13597478630933
2020-01-31,2020-02-03,B3SA3;CMIG4;CPFE3;CPLE3;CSMG3;ENGI11;EQTL3;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SBSP3;TOTS3;USIM5;WEGE3,B3SA3;CMIG4;CPFE3;CPLE3;ENGI11;EQTL3;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SBSP3;TOTS3;USIM5;WEGE3,MGLU3,69.27043382396356
2020-02-28,2020-03-02,B3SA3;WEGE3,B3SA3;WEGE3,WEGE3,100.23203267639653
2020-03-31,2020-04-01,RAIL3,,,
2020-04-30,2020-05-04,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,CPLE3;ENEV3;GOAU4;KLBN11;MGLU3;RADL3;SMTO3;SUZB3;TOTS3;WEGE3,WEGE3,54.56655716986651
2020-05-29,2020-06-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,BRAP4;CMIG4;ENEV3;ENGI11;GOAU4;KLBN11;MGLU3;VALE3;WEGE3,WEGE3,43.94357404437474
2020-06-30,2020-07-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,B3SA3;BPAC11;CMIG4;ENEV3;EQTL3;GOAU4;KLBN11;MGLU3;RADL3;TOTS3;VALE3;WEGE3,WEGE3,49.77803859734256
2020-07-31,2020-08-03,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;PSSA3;RADL3;RENT3;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,B3SA3;BRAP4;CMIG4;ENEV3;EQTL3;GOAU4;HYPE3;SUZB3;TOTS3;VALE3;WEGE3,WEGE3,58.88181048612224
2020-08-31,2020-09-01,CSNA3;GGBR4;GOAU4;KLBN11;LREN3;MGLU3;SMTO3;SUZB3;USIM5,CSNA3;GGBR4;GOAU4;KLBN11;MGLU3;SUZB3;USIM5,MGLU3,77.39296320448064
2020-09-30,2020-10-01,RADL3;RENT3,RADL3;RENT3,RENT3,115.47528321303137
2020-10-30,2020-11-03,ABEV3;BBAS3;BBDC4;BBSE3;CPFE3;CSNA3;EGIE3;ENEV3;ENGI11;ITSA4;ITUB4;MGLU3;PSSA3;RADL3;RENT3;SANB11;VALE3;WEGE3,ABEV3;BBAS3;BBDC4;CSNA3;EGIE3;ENEV3;ITSA4;ITUB4;MGLU3;PSSA3;RADL3;RENT3;SANB11;VALE3;WEGE3,CSNA3,149.5747517380785
2020-11-30,2020-12-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;RAIL3;SANB11;SBSP3;SMTO3;SUZB3;UGPA3;USIM5;VALE3,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPLE3;CSNA3;CYRE3;ENEV3;EQTL3;ITSA4;ITUB4;LREN3;MULT3;PETR4;SANB11;SMTO3;SUZB3;UGPA3;USIM5;VALE3,CSNA3,127.81008659119446
2020-12-30,2021-01-04,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;PETR4;PSSA3;RAIL3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;PETR4;SANB11;SMTO3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,CSNA3,201.89573276206735
2021-01-29,2021-02-01,BPAC11;ENEV3;KLBN11;MGLU3;PSSA3;RAIL3;SMTO3;SUZB3;TOTS3;WEGE3,BPAC11;ENEV3;KLBN11;MGLU3;SMTO3;SUZB3;TOTS3;WEGE3,SUZB3,46.69030816748545
2021-02-26,2021-03-01,BPAC11;GGBR4;KLBN11;SUZB3;TOTS3;USIM5,BPAC11;GGBR4;KLBN11;SUZB3;TOTS3;USIM5,USIM5,68.29015968396486
2021-03-31,2021-04-01,ABEV3;BBAS3;BBDC4;BRAP4;CMIG4;CPLE3;CSMG3;EGIE3;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;RADL3;RAIL3;SANB11;SBSP3;UGPA3,ABEV3;BBDC4;BRAP4;CMIG4;CPLE3;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MULT3;PETR4;RADL3;SANB11,BRAP4,53.02419615680427
2021-04-30,2021-05-03,BBAS3;BBDC4;BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;PETR4;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;USIM5;VALE3,BBDC4;BPAC11;BRAP4;CMIG4;CSMG3;CSNA3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;PETR4;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;UGPA3;USIM5;VALE3,CSNA3,134.909252077273
2021-05-31,2021-06-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RENT3;SANB11;SMTO3;TOTS3;WEGE3,ABEV3;BBDC4;BPAC11;CMIG4;CSMG3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;PETR4;PSSA3;RADL3;SANB11;SMTO3;TOTS3,BPAC11,55.88087480747917
2021-06-30,2021-07-01,B3SA3;BBSE3;BRAP4;CPLE3;KLBN11;MGLU3;PETR4;RENT3;SUZB3;TOTS3;WEGE3,BRAP4;KLBN11;PETR4;SUZB3;TOTS3,TOTS3,36.117139286046275
2021-07-30,2021-08-02,BRAP4;CPLE3;CSNA3;GGBR4;GOAU4;HYPE3;RAIL3;USIM5;WEGE3,BRAP4;CSNA3;GGBR4;GOAU4;HYPE3;USIM5,USIM5,57.02289384208399
2021-08-31,2021-09-01,ABEV3;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENGI11;EQTL3;ITUB4;KLBN11;PSSA3;SANB11;SBSP3;SMTO3;SUZB3;TOTS3;WEGE3,ABEV3;CMIG4;CPFE3;CPLE3;CSMG3;ENGI11;EQTL3;ITUB4;PSSA3;SANB11;SMTO3;TOTS3,PSSA3,30.853742196799374
2021-09-30,2021-10-01,BBAS3;BBSE3;CMIG4;CPLE3;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;PETR4;RENT3;SBSP3;SMTO3;UGPA3;WEGE3,CMIG4;EQTL3;PETR4;SMTO3;WEGE3,CMIG4,20.053846723217994
2021-10-29,2021-11-01,ABEV3;B3SA3;BBDC4;BBSE3;BRAP4;EGIE3;GGBR4;GOAU4;KLBN11;PETR4;SANB11;SMTO3;VALE3,ABEV3;PETR4;SMTO3,SMTO3,22.874556117100898
2021-11-30,2021-12-01,ABEV3;B3SA3;BBAS3;BBDC4;BRAP4;CSNA3;CYRE3;ENGI11;GGBR4;HYPE3;ITUB4;KLBN11;LREN3;MULT3;PETR4;RADL3;RAIL3;RENT3;SANB11;SUZB3;UGPA3;USIM5;VALE3,PETR4,PETR4,9.040387405679473
2021-12-30,2022-01-03,BPAC11;CPFE3;CPLE3;CSNA3;CYRE3;GGBR4;GOAU4;HYPE3;ITUB4;KLBN11;MGLU3;RADL3;RAIL3;RENT3;SBSP3;SUZB3;UGPA3;USIM5;VALE3,CPLE3;SBSP3,CPLE3,9.481211552382508
2022-01-31,2022-02-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RENT3;SANB11;SMTO3;TOTS3;UGPA3;USIM5;VALE3;WEGE3,BBAS3;BBSE3;CMIG4;CPFE3;CPLE3;EGIE3;PETR4;SMTO3,PETR4,16.32505964229707
2022-02-25,2022-03-02,ABEV3;B3SA3;BBAS3;BBSE3;BPAC11;BRAP4;CMIG4;CPFE3;CSMG3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RADL3;RAIL3;RENT3;SBSP3;SMTO3;TOTS3;UGPA3;VALE3;WEGE3,B3SA3;BBAS3;BBSE3;BRAP4;CPFE3;EGIE3;MULT3;PETR4;SBSP3;SMTO3,PETR4,22.610892765993885
2022-03-31,2022-04-01,ABEV3;B3SA3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;UGPA3;WEGE3,B3SA3;BBDC4;BBSE3;CMIG4;CPFE3;CPLE3;EGIE3;ENGI11;EQTL3;GGBR4;HYPE3;ITSA4;KLBN11;MULT3;RAIL3;RENT3;SANB11;SBSP3;SMTO3,SMTO3,31.632046319277297
2022-04-29,2022-05-02,ABEV3;BBSE3;CMIG4;CPFE3;PSSA3,BBSE3;CMIG4;CPFE3,CPFE3,41.21094138046257
2022-05-31,2022-06-01,BBAS3;BBDC4;BPAC11;CMIG4;CPLE3;CSMG3;CSNA3;EGIE3;ENEV3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;PSSA3;RADL3;RAIL3;RENT3;SMTO3;SUZB3;UGPA3;USIM5;VALE3,BBAS3;BBDC4;BPAC11;CMIG4;CPLE3;CSMG3;EGIE3;ENEV3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;RAIL3;RENT3;SMTO3;UGPA3;VALE3,SMTO3,40.32302868416748
2022-06-30,2022-07-01,ENEV3;RADL3;WEGE3,ENEV3,ENEV3,4.087391805264584
