date,open,high,low,close,volume
2007-02-12,5.14923689,5.23688339,4.95641458,5.18429518,20976300
2007-02-13,5.25879461,5.56555733,5.20401508,5.41217566,6365700
2007-02-14,5.25879613,5.56555894,5.20401658,5.46695614,6408900
2007-02-15,5.51077981,5.87232216,5.51077981,5.73646975,3564600
2007-02-16,5.7824846,6.27330576,5.74085234,6.21852684,2717400
2007-02-21,6.48584752,7.03363916,6.37409806,6.69181776,4920600
2007-02-22,6.80356618,6.88025639,6.46612622,6.49680281,3526200
2007-02-23,6.32151022,6.68305255,6.09143828,6.13526154,4446300
2007-02-26,6.35437869,6.37629063,5.9928363,6.02570391,5802300
2007-02-27,6.35437755,6.3762895,5.99283523,6.02132082,5834400
2007-02-28,5.83726299,5.98845306,5.78248345,5.91614485,1895100
2007-03-01,5.74085138,5.90518874,5.59185231,5.82849789,1358400
2007-03-02,5.76276355,6.01474743,5.76276355,5.90299797,1398900
2007-03-05,5.76057155,5.7846745,5.67511606,5.67511606,1702200
2007-03-06,5.8920419,6.00379135,5.85040965,5.91614485,1787700
2007-03-07,5.95996776,5.98188033,5.79343939,5.79343939,1940700
2007-03-08,5.95777633,5.9818799,5.79343898,5.80658627,1069500
2007-03-09,5.95777667,5.98188024,5.79343931,5.88985109,1078800
2007-03-12,5.87013045,5.87232146,5.74742472,5.80658627,524700
2007-03-13,5.80658638,5.80658638,5.58966112,5.58966112,1027500
2007-03-14,5.58966102,5.76276302,5.43408832,5.76276302,873300
2007-03-15,5.71674876,5.84164552,5.58966163,5.77371931,450600
2007-03-16,5.8087773,5.94024706,5.8065863,5.81315994,944700
2007-03-19,5.93586468,5.93586468,5.83945353,5.86136484,201900
2007-03-20,5.87232242,5.87232242,5.72551434,5.79563093,672600
2007-03-21,5.84383681,5.88765944,5.72989572,5.82849789,1423500
2007-03-22,5.85917483,5.87232213,5.67511715,5.72989607,994800
2007-03-23,5.70579201,5.76276191,5.69702673,5.75180626,549000
2007-03-26,5.85040878,5.89861467,5.75180663,5.83068848,633000
2007-03-27,5.8723213,6.06952561,5.78029216,5.9774971,1338300
2007-03-28,5.95996658,5.95996658,5.80658553,5.83068848,914700
2007-03-29,5.91833608,6.00379158,5.82849793,5.8745122,858000
