decision_date,execution_date,eligible_tickers,selected_ticker,selected_score
2017-02-24,2017-03-01,B3SA3;BBAS3;BBDC4;BRAP4;CMIG4;CPFE3;CPLE3;CSMG3;CYRE3;ENEV3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SANB11;SBSP3;WEGE3,MGLU3,0.9538980649878059
2017-03-31,2017-04-03,ABEV3;B3SA3;BBAS3;CPFE3;CYRE3;ENEV3;HYPE3;LREN3;MULT3;RAIL3;RENT3;UGPA3,UGPA3,0.6228271803010991
2017-04-28,2017-05-02,B3SA3;BBDC4;CPFE3;CYRE3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RADL3;RAIL3;RENT3;WEGE3,RADL3,0.901621247861337
2017-05-31,2017-06-01,ABEV3;CPFE3;KLBN11;MGLU3;PSSA3;RADL3;TOTS3;UGPA3;WEGE3,PSSA3,0.32927819929402125
2017-06-30,2017-07-03,B3SA3;BBDC4;BRAP4;CPFE3;CSMG3;ENGI11;ITUB4;LREN3;MGLU3;MULT3;RAIL3;RENT3;SBSP3;UGPA3;USIM5;VALE3,CPFE3,0.6265102058738158
2017-07-31,2017-08-01,ABEV3;B3SA3;BBDC4;BRAP4;CPFE3;CSMG3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;SBSP3;TOTS3;USIM5;VALE3;WEGE3,RAIL3,0.8965367159359933
2017-08-31,2017-09-01,ABEV3;B3SA3;BBAS3;BBDC4;BRAP4;CPFE3;CYRE3;ENEV3;EQTL3;GGBR4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PSSA3;RAIL3;RENT3;TOTS3;USIM5;VALE3;WEGE3,USIM5,0.8561637796746617
2017-09-29,2017-10-02,ABEV3;B3SA3;BBAS3;BBDC4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;ENEV3;ENGI11;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;PETR4;PSSA3;RADL3;RAIL3;SBSP3;UGPA3;USIM5;WEGE3,LREN3,0.6337068127097852
2017-10-31,2017-11-01,CPFE3;HYPE3;KLBN11;PETR4;RADL3;RAIL3;RENT3;SANB11;SMTO3;TOTS3;UGPA3;USIM5;VALE3,CPFE3,0.6409697720035005
2017-11-30,2017-12-01,BRAP4;ENGI11;EQTL3;PSSA3;RADL3;RAIL3;RENT3;SANB11;SBSP3;VALE3;WEGE3,RADL3,0.5196798403591382
2017-12-29,2018-01-02,ABEV3;BBAS3;BBDC4;BBSE3;BRAP4;CSMG3;CYRE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RADL3;RAIL3;RENT3;SANB11;SBSP3;SMTO3;UGPA3;USIM5;VALE3;WEGE3,SMTO3,0.7366612066861126
2018-01-31,2018-02-01,ABEV3;B3SA3;BBAS3;BBDC4;BBSE3;BRAP4;CSMG3;CSNA3;CYRE3;ENGI11;EQTL3;GGBR4;GOAU4;HYPE3;ITSA4;ITUB4;KLBN11;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;TOTS3;UGPA3;USIM5;VALE3,PSSA3,0.8987950324396264
2018-02-28,2018-03-01,ABEV3;BBAS3;BPAC11;BRAP4;CYRE3;EGIE3;ENGI11;EQTL3;GGBR4;GOAU4;ITSA4;ITUB4;MGLU3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;USIM5;VALE3,ENGI11,0.42442958412729087
2018-03-29,2018-04-02,ABEV3;B3SA3;CMIG4;CPFE3;CSMG3;ENGI11;EQTL3;HYPE3;ITSA4;KLBN11;MGLU3;PSSA3;RENT3;SANB11;SUZB3,KLBN11,0.7119346571599513
2018-04-30,2018-05-02,BRAP4;CMIG4;CSMG3;GGBR4;GOAU4;ITSA4;ITUB4;KLBN11;MGLU3;PETR4;RAIL3;SBSP3;SUZB3;TOTS3;USIM5;VALE3;WEGE3,SUZB3,0.7023624273731274
2018-05-30,2018-06-01,MGLU3;SUZB3;VALE3,VALE3,0.16441938586417001
2018-06-29,2018-07-02,MGLU3;RAIL3;SUZB3,MGLU3,0.4299136352022531
2018-07-31,2018-08-01,BRAP4;CMIG4;CSNA3;EGIE3;ENGI11;GGBR4;GOAU4;KLBN11;MGLU3;PETR4;PSSA3;RAIL3;SANB11;SMTO3;SUZB3;VALE3;WEGE3,SANB11,0.6935467556339728
2018-08-31,2018-09-03,BPAC11;GOAU4;KLBN11;PSSA3;RADL3;SUZB3;VALE3;WEGE3,PSSA3,0.4376340880709476
2018-09-28,2018-10-01,BPAC11;BRAP4;CSNA3;ENGI11;GGBR4;PETR4;PSSA3;RAIL3;SANB11;VALE3;WEGE3,RAIL3,0.41902888785236125
2018-10-31,2018-11-01,B3SA3;BBAS3;BBDC4;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;RAIL3;RENT3;SANB11;SMTO3;USIM5,CPLE3,1.0666414982222396
2018-11-30,2018-12-03,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MULT3;RAIL3;RENT3;SUZB3,ENGI11,0.7607045603626472
2018-12-28,2019-01-02,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;ENEV3;ENGI11;EQTL3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RAIL3;RENT3;SANB11;SBSP3;UGPA3,CPFE3,0.9199897879618135
2019-01-31,2019-02-01,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSMG3;CSNA3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;GOAU4;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;PETR4;PSSA3;RAIL3;RENT3;SANB11;SBSP3;SUZB3;TOTS3;UGPA3,SBSP3,1.2077325763217333
2019-02-28,2019-03-01,B3SA3;BBAS3;BBDC4;BPAC11;CMIG4;CSMG3;CSNA3;CYRE3;ENEV3;PETR4;PSSA3;RENT3;TOTS3,CSNA3,0.5085638759042853
2019-03-29,2019-04-01,BPAC11;CPLE3;CSNA3;EGIE3;PETR4;SBSP3;TOTS3,TOTS3,0.4751054929703835
2019-04-30,2019-05-02,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPLE3;CSMG3;CYRE3;EGIE3;ENEV3;ENGI11;EQTL3;LREN3;MGLU3;MULT3;PSSA3;RADL3;RENT3;SANB11;SBSP3;SMTO3;TOTS3;WEGE3,BPAC11,0.7377475322927162
2019-05-31,2019-06-03,B3SA3;BBAS3;BBDC4;BBSE3;BPAC11;CMIG4;CPFE3;CPLE3;CSNA3;EGIE3;ENEV3;ENGI11;EQTL3;HYPE3;ITSA4;ITUB4;LREN3;MGLU3;MULT3;RADL3;RAIL3;RENT3;SANB11;SMTO3;WEGE3,CPLE3,0.7086788806691893
