date,side,ticker,shares,price,gross_brl,commission_brl,cash_after_brl,reason
2017-03-01,BUY,MGLU3,135,7.396024746109999,998.4633407248499,0.319508269031952,1.2171510061181152,monthly_rebalance
2017-04-03,SELL,MGLU3,135,6.20526771081,837.71114095935,0.26806756510699203,838.6602244003611,monthly_rebalance
2017-04-03,BUY,UGPA3,25,33.007095221099995,825.1773805274998,0.2640567617688,13.218787111092524,monthly_rebalance
2017-05-02,SELL,UGPA3,25,32.678794374119995,816.9698593529998,0.26143035499295997,829.9272161090994,monthly_rebalance
2017-05-02,BUY,RADL3,64,12.793700950029999,818.7968608019199,0.2620149954566144,10.868340311722818,monthly_rebalance
2017-06-01,SELL,RADL3,64,13.562969174280001,868.0300271539201,0.27776960868925443,878.6205978569536,monthly_rebalance
2017-06-01,BUY,PSSA3,53,16.31129508008,864.49863924424,0.27663956455815686,13.845319048155375,monthly_rebalance
2017-07-03,SELL,PSSA3,53,15.109875,800.823375,0.25626348000000004,814.4124305681554,monthly_rebalance
2017-07-03,BUY,CPFE3,30,26.486459079079996,794.5937723723998,0.254270007159168,19.564388188596354,monthly_rebalance
2017-08-01,SELL,CPFE3,30,26.82315037962,804.6945113886,0.257502243644352,824.001397333552,monthly_rebalance
2017-08-01,BUY,RAIL3,79,10.310300190189999,814.5137150250099,0.26064438880800317,9.227037919734016,monthly_rebalance
2017-09-01,SELL,RAIL3,79,10.33965037962,816.83237998998,0.2613863615967936,825.7980315481173,monthly_rebalance
2017-09-01,BUY,USIM5,118,6.966960040039999,822.1012847247199,0.2630724111119104,3.433674412285427,monthly_rebalance
2017-10-02,SELL,USIM5,118,7.83216014985,924.1948976823,0.295742367258336,927.3328297273272,monthly_rebalance
2017-10-02,BUY,LREN3,34,26.919886923929997,915.2761554136199,0.2928883697323584,11.76378594397488,monthly_rebalance
2017-11-01,SELL,LREN3,34,25.875747830519998,879.77542623768,0.2815281363960576,891.2576840452588,monthly_rebalance
2017-11-01,BUY,CPFE3,32,27.547520460459996,881.5206547347199,0.2820866095151104,9.45494270102381,monthly_rebalance
2017-12-01,SELL,CPFE3,32,20.779199240759997,664.9343757043199,0.21277900022538238,674.1765394051183,monthly_rebalance
2017-12-01,BUY,RADL3,40,16.5172541534,660.690166136,0.21142085316352002,13.274952415954772,monthly_rebalance
