date,cash,held_ticker,shares,invested_value,equity
2017-02-24,1000.0,,0,0.0,1000.0
2017-03-01,1.2171510061181152,MGLU3,135,1009.9611927000001,1011.1783437061182
2017-03-02,1.2171510061181152,MGLU3,135,930.10382595,931.3209769561181
2017-03-03,1.2171510061181152,MGLU3,135,916.05827745,917.2754284561181
2017-03-06,1.2171510061181152,MGLU3,135,916.10527095,917.3224219561181
2017-03-07,1.2171510061181152,MGLU3,135,869.5060938,870.7232448061181
2017-03-08,1.2171510061181152,MGLU3,135,826.7588716500001,827.9760226561182
2017-03-09,1.2171510061181152,MGLU3,135,871.33821525,872.5553662561181
2017-03-10,1.2171510061181152,MGLU3,135,803.2714744499999,804.488625456118
2017-03-13,1.2171510061181152,MGLU3,135,798.8558715,800.0730225061181
2017-03-14,1.2171510061181152,MGLU3,135,812.66652405,813.8836750561181
2017-03-15,1.2171510061181152,MGLU3,135,825.3028183499999,826.519969356118
2017-03-16,1.2171510061181152,MGLU3,135,920.47401,921.6911610061181
2017-03-17,1.2171510061181152,MGLU3,135,863.8692066,865.0863576061181
2017-03-20,1.2171510061181152,MGLU3,135,918.4070560499999,919.624207056118
2017-03-21,1.2171510061181152,MGLU3,135,864.33887295,865.5560239561181
2017-03-22,1.2171510061181152,MGLU3,135,856.6350966,857.8522476061181
2017-03-23,1.2171510061181152,MGLU3,135,887.82639705,889.0435480561181
2017-03-24,1.2171510061181152,MGLU3,135,855.4137462,856.6308972061181
2017-03-27,1.2171510061181152,MGLU3,135,852.59517435,853.8123253561181
2017-03-28,1.2171510061181152,MGLU3,135,829.8123407999999,831.029491806118
2017-03-29,1.2171510061181152,MGLU3,135,847.19305485,848.4102058561181
2017-03-30,1.2171510061181152,MGLU3,135,850.2464605499999,851.463611556118
2017-03-31,1.2171510061181152,MGLU3,135,831.9261572999999,833.143308306118
2017-04-03,13.218787111092524,UGPA3,25,828.614712,841.8334991110926
2017-04-04,13.218787111092524,UGPA3,25,826.6566275,839.8754146110925
2017-04-05,13.218787111092524,UGPA3,25,823.8923075,837.1110946110925
2017-04-06,13.218787111092524,UGPA3,25,823.4315869999999,836.6503741110924
2017-04-07,13.218787111092524,UGPA3,25,825.1592635,838.3780506110925
2017-04-10,13.218787111092524,UGPA3,25,825.3896715,838.6084586110925
2017-04-11,13.218787111092524,UGPA3,25,808.3428385,821.5616256110925
2017-04-12,13.218787111092524,UGPA3,25,807.0757864999999,820.2945736110925
2017-04-13,13.218787111092524,UGPA3,25,807.421303,820.6400901110925
2017-04-17,13.218787111092524,UGPA3,25,822.1645354999999,835.3833226110925
2017-04-18,13.218787111092524,UGPA3,25,816.0599709999999,829.2787581110924
2017-04-19,13.218787111092524,UGPA3,25,807.9972265,821.2160136110925
2017-04-20,13.218787111092524,UGPA3,25,810.416031,823.6348181110925
2017-04-24,13.218787111092524,UGPA3,25,819.6305275,832.8493146110925
2017-04-25,13.218787111092524,UGPA3,25,827.578068,840.7968551110926
2017-04-26,13.218787111092524,UGPA3,25,818.0180549999999,831.2368421110924
2017-04-27,13.218787111092524,UGPA3,25,812.489319,825.7081061110925
2017-04-28,13.218787111092524,UGPA3,25,811.1071585,824.3259456110925
2017-05-02,10.868340311722818,RADL3,64,836.19903552,847.0673758317229
2017-05-03,10.868340311722818,RADL3,64,834.38909888,845.2574391917228
2017-05-04,10.868340311722818,RADL3,64,820.51275648,831.3810967917228
2017-05-05,10.868340311722818,RADL3,64,824.37402368,835.2423639917229
2017-05-08,10.868340311722818,RADL3,64,817.49621568,828.3645559917228
2017-05-09,10.868340311722818,RADL3,64,832.69982912,843.5681694317228
2017-05-10,10.868340311722818,RADL3,64,845.24884032,856.1171806317228
2017-05-11,10.868340311722818,RADL3,64,834.75109888,845.6194391917228
2017-05-12,10.868340311722818,RADL3,64,841.02557376,851.8939140717229
2017-05-15,10.868340311722818,RADL3,64,847.05883776,857.9271780717228
2017-05-16,10.868340311722818,RADL3,64,842.95623808,853.8245783917229
2017-05-17,10.868340311722818,RADL3,64,834.99243136,845.8607716717228
2017-05-18,10.868340311722818,RADL3,64,810.3770144,821.2453547117228
2017-05-19,10.868340311722818,RADL3,64,812.06628416,822.9346244717228
2017-05-22,10.868340311722818,RADL3,64,791.55352768,802.4218679917228
2017-05-23,10.868340311722818,RADL3,64,799.39666752,810.2650078317229
2017-05-24,10.868340311722818,RADL3,64,807.23980736,818.1081476717228
2017-05-25,10.868340311722818,RADL3,64,814.47961408,825.3479543917229
2017-05-26,10.868340311722818,RADL3,64,854.29864512,865.1669854317228
2017-05-29,10.868340311722818,RADL3,64,854.29864512,865.1669854317228
2017-05-30,10.868340311722818,RADL3,64,871.07086208,881.9392023917228
2017-05-31,10.868340311722818,RADL3,64,868.7782592,879.6465995117228
2017-06-01,13.845319048155375,PSSA3,53,848.0,861.8453190481554
2017-06-02,13.845319048155375,PSSA3,53,834.21998781,848.0653068581554
2017-06-05,13.845319048155375,PSSA3,53,836.07497986,849.9202989081554
2017-06-06,13.845319048155375,PSSA3,53,823.08998569,836.9353047381554
2017-06-07,13.845319048155375,PSSA3,53,834.75,848.5953190481554
2017-06-08,13.845319048155375,PSSA3,53,830.2449978799999,844.0903169281553
2017-06-09,13.845319048155375,PSSA3,53,797.91501643,811.7603354781554
2017-06-12,13.845319048155375,PSSA3,53,797.91501643,811.7603354781554
2017-06-13,13.845319048155375,PSSA3,53,785.19497774,799.0402967881554
2017-06-14,13.845319048155375,PSSA3,53,798.97498993,812.8203089781554
2017-06-15,13.845319048155375,PSSA3,53,798.97498993,812.8203089781554
2017-06-16,13.845319048155375,PSSA3,53,824.15001007,837.9953291181554
2017-06-19,13.845319048155375,PSSA3,53,830.77501007,844.6203291181554
2017-06-20,13.845319048155375,PSSA3,53,821.5,835.3453190481554
2017-06-21,13.845319048155375,PSSA3,53,804.54001643,818.3853354781554
2017-06-22,13.845319048155375,PSSA3,53,808.78001219,822.6253312381554
2017-06-23,13.845319048155375,PSSA3,53,813.8149756199999,827.6602946681553
2017-06-26,13.845319048155375,PSSA3,53,818.84998993,832.6953089781554
2017-06-27,13.845319048155375,PSSA3,53,793.14500795,806.9903269981554
2017-06-28,13.845319048155375,PSSA3,53,803.47999205,817.3253110981553
2017-06-29,13.845319048155375,PSSA3,53,800.03501431,813.8803333581553
2017-06-30,13.845319048155375,PSSA3,53,811.16501643,825.0103354781554
2017-07-03,19.564388188596354,CPFE3,30,795.6000137999999,815.1644019885963
2017-07-04,19.564388188596354,CPFE3,30,793.7999724,813.3643605885964
2017-07-05,19.564388188596354,CPFE3,30,794.3999862000001,813.9643743885964
2017-07-06,19.564388188596354,CPFE3,30,792.6000024,812.1643905885963
2017-07-07,19.564388188596354,CPFE3,30,793.2000158999999,812.7644040885963
2017-07-10,19.564388188596354,CPFE3,30,797.7000045000001,817.2643926885964
2017-07-11,19.564388188596354,CPFE3,30,800.7000158999999,820.2644040885963
2017-07-12,19.564388188596354,CPFE3,30,801.5999793,821.1643674885963
2017-07-13,19.564388188596354,CPFE3,30,802.1999931,821.7643812885964
2017-07-14,19.564388188596354,CPFE3,30,802.5,822.0643881885964
2017-07-17,19.564388188596354,CPFE3,30,803.1000137999999,822.6644019885963
2017-07-18,19.564388188596354,CPFE3,30,803.1000137999999,822.6644019885963
2017-07-19,19.564388188596354,CPFE3,30,802.8000069,822.3643950885963
2017-07-20,19.564388188596354,CPFE3,30,802.8000069,822.3643950885963
2017-07-21,19.564388188596354,CPFE3,30,803.9999772,823.5643653885963
2017-07-24,19.564388188596354,CPFE3,30,803.9999772,823.5643653885963
2017-07-25,19.564388188596354,CPFE3,30,804.5999907,824.1643788885964
2017-07-26,19.564388188596354,CPFE3,30,803.7000276,823.2644157885964
2017-07-27,19.564388188596354,CPFE3,30,804.5999907,824.1643788885964
2017-07-28,19.564388188596354,CPFE3,30,805.2000045000001,824.7643926885964
