decision_date,execution_date,ticker,close,roc_252_pct,roc_126_pct,roc_63_pct,composite_roc_pct,roc_22_pct,sma_200,volatility_18_annualized_pct,score,eligible_for_ranking,reason,rank,selected,target_weight
2017-02-24,2017-03-01,ABEV3,17.84000015,0.7340546400525394,-8.886617860619461,3.54034025702592,-1.5374076545136672,,,,,False,nonpositive_composite_roc,,False,0.0
2017-02-24,2017-03-01,B3SA3,6.34000015,71.3513530898466,5.784215529120473,15.834360690300265,30.989976436422445,5.024863625383458,5.8517163301999995,23.869537962489183,0.21051365272675143,True,eligible,15,False,0.0
2017-02-24,2017-03-01,BBAS3,16.54999924,152.28657608798696,48.098424685574855,19.797319892499043,73.39410688868696,9.966770970519146,12.0192999959,22.351646595368617,0.4459076841606969,True,eligible,5,False,0.0
2017-02-24,2017-03-01,BBDC4,17.29265785,78.28322272502943,18.847792859899815,12.753036769200698,36.62801745137665,4.047321990452257,14.956519513100002,26.578873900228622,0.15227590174230232,True,eligible,18,False,0.0
2017-02-24,2017-03-01,BBSE3,28.62000084,21.271188047328327,0.0699316773925096,2.5071660386614125,7.949428587794083,4.605263895862177,28.747349977600003,,,False,below_or_at_sma200,,False,0.0
2017-02-24,2017-03-01,BPAC11,4.55000019,,,,,,,,,False,insufficient_history,,False,0.0
2017-02-24,2017-03-01,BRAP4,10.81018829,509.0909271722607,121.22645540482537,49.36307285738985,226.56015181149195,5.298612189925511,5.91464763565,86.6926265947844,0.06111952536277504,True,eligible,23,False,0.0
2017-02-24,2017-03-01,CMIG4,5.28218412,78.16668420050858,21.201802987673602,33.45818270753516,44.27555663190578,17.08652222371583,4.0451945579,45.2646389981847,0.37748058090999176,True,eligible,8,False,0.0
2017-02-24,2017-03-01,CPFE3,25.54000092,53.82164836558918,10.850694011170203,4.458078225433959,23.04347353406445,0.7892690166380945,23.30824995975,2.614017501814036,0.3019371584506873,True,eligible,10,False,0.0
2017-02-24,2017-03-01,CPLE3,2.56699991,66.68831017372231,14.088884888888886,22.296328463995497,34.35784117553557,17.161110608499406,2.09389499975,27.758423080841133,0.6182307459800916,True,eligible,3,False,0.0
2017-02-24,2017-03-01,CSMG3,17.19666672,276.74271353049227,63.259502133532685,53.131499772082805,131.04457181203594,25.218453403178074,11.229955649049998,31.348949280105092,0.8044433380477731,True,eligible,2,False,0.0
2017-02-24,2017-03-01,CSNA3,11.97999954,129.5019161293874,37.227951560693896,-7.05974224978182,53.22337514676651,-3.3091266242854744,,,,False,nonpositive_roc22,,False,0.0
2017-02-24,2017-03-01,CYRE3,12.98999977,62.78195159703772,26.97947560220517,43.853822352218394,44.53841651715376,4.337349142497704,10.7144500352,25.721613089726,0.1686266381259803,True,eligible,17,False,0.0
2017-02-24,2017-03-01,EGIE3,21.13142776,5.687335891298195,-6.851390750451958,4.374820081365582,1.0702550740706065,4.081057815881861,21.574856711049996,,,False,below_or_at_sma200,,False,0.0
2017-02-24,2017-03-01,ENEV3,3.38750005,12.916668333333337,-8.569497351028287,0.3703718518518473,1.5725142780522987,13.579210700306167,3.1346374906000007,50.5734462217582,0.26850475328026957,True,eligible,12,False,0.0
2017-02-24,2017-03-01,ENGI11,20.48336983,63.531117922919165,7.1090072782861835,15.07129388199646,28.57047302773394,12.774450462400777,17.7211956691,28.117399106358366,0.45432546638042387,True,eligible,4,False,0.0
